string_protein_id,gene_symbol,match_type
9606.ENSP00000199814,RBM22,direct
9606.ENSP00000199936,HSD17B2,direct
9606.ENSP00000200135,ZW10,direct
9606.ENSP00000200181,ITGB4,direct
9606.ENSP00000200453,PPP1R15A,direct
9606.ENSP00000200457,TRIP6,direct
9606.ENSP00000200557,ADAM11,direct
9606.ENSP00000200652,SLC22A4,direct
9606.ENSP00000200676,CETP,direct
9606.ENSP00000200691,MT3,direct
9606.ENSP00000201031,TFAP2C,direct
9606.ENSP00000201586,SULT2B1,direct
9606.ENSP00000201647,EPS8L1,direct
9606.ENSP00000201979,REM1,direct
9606.ENSP00000202017,PDRG1,direct
9606.ENSP00000202556,PPP1R13B,direct
9606.ENSP00000202625,TGM6,direct
9606.ENSP00000202677,RALGAPA2,direct
9606.ENSP00000202816,ESF1,direct
9606.ENSP00000202967,SIRT4,direct
9606.ENSP00000203001,TRMT6,direct
9606.ENSP00000203407,UQCRC1,direct
9606.ENSP00000203556,GMIP,direct
9606.ENSP00000203629,LAG3,direct
9606.ENSP00000203630,MLF2,direct
9606.ENSP00000203664,OTUB2,direct
9606.ENSP00000204517,TFAP4,direct
9606.ENSP00000204549,PDCD7,direct
9606.ENSP00000204566,SPG21,direct
9606.ENSP00000204604,CHRD,direct
9606.ENSP00000204679,GNPTG,direct
9606.ENSP00000204726,GOLGA3,direct
9606.ENSP00000204961,EFNB1,direct
9606.ENSP00000205061,GLG1,direct
9606.ENSP00000205143,DLL3,direct
9606.ENSP00000205194,NAT14,direct
9606.ENSP00000205214,AASDH,direct
9606.ENSP00000205402,DLD,direct
9606.ENSP00000205557,ABCC6,direct
9606.ENSP00000205636,CMTM6,direct
9606.ENSP00000205948,APOH,direct
9606.ENSP00000206020,SPAG7,direct
9606.ENSP00000206262,RGS17,direct
9606.ENSP00000206423,CCDC80,direct
9606.ENSP00000206474,HAUS4,direct
9606.ENSP00000206513,CEBPE,direct
9606.ENSP00000206542,OSGEP,direct
9606.ENSP00000206595,G2E3,direct
9606.ENSP00000206765,TGM1,direct
9606.ENSP00000207457,TEKT2,direct
9606.ENSP00000207549,UNC13D,direct
9606.ENSP00000207870,XYLB,direct
9606.ENSP00000209668,ADH1A,direct
9606.ENSP00000209718,KRT23,direct
9606.ENSP00000209728,CDC6,direct
9606.ENSP00000209873,AAAS,direct
9606.ENSP00000209875,CBX5,direct
9606.ENSP00000209884,KLHL20,direct
9606.ENSP00000209929,FMO2,direct
9606.ENSP00000210060,DHPS,direct
9606.ENSP00000210187,RAB26,direct
9606.ENSP00000210313,PSMD5,direct
9606.ENSP00000210444,NANS,direct
9606.ENSP00000210633,SEMA4G,direct
9606.ENSP00000211076,TPSD1,direct
9606.ENSP00000211122,GSTA3,direct
9606.ENSP00000211287,MAPK13,direct
9606.ENSP00000211314,TMEM14A,direct
9606.ENSP00000211413,PRRT1,direct
9606.ENSP00000211936,ZNF184,direct
9606.ENSP00000211998,VCL,direct
9606.ENSP00000212015,SIRT1,direct
9606.ENSP00000212355,TGFBR3,direct
9606.ENSP00000214869,TMED1,direct
9606.ENSP00000215057,MZF1,direct
9606.ENSP00000215061,OCEL1,direct
9606.ENSP00000215071,PSMD8,direct
9606.ENSP00000215095,STX1B,direct
9606.ENSP00000215368,EFNA2,direct
9606.ENSP00000215375,ATP5F1D,direct
9606.ENSP00000215530,FGF22,direct
9606.ENSP00000215531,SMIM24,direct
9606.ENSP00000215565,NDUFB7,direct
9606.ENSP00000215567,TECR,direct
9606.ENSP00000215570,TIMM13,direct
9606.ENSP00000215574,CDC34,direct
9606.ENSP00000215582,MISP,direct
9606.ENSP00000215631,GADD45B,direct
9606.ENSP00000215637,MADCAM1,direct
9606.ENSP00000215659,MAPK12,direct
9606.ENSP00000215727,SERPIND1,direct
9606.ENSP00000215730,SNAP29,direct
9606.ENSP00000215742,THAP7,direct
9606.ENSP00000215743,MMP11,direct
9606.ENSP00000215754,MIF,direct
9606.ENSP00000215770,DDTL,direct
9606.ENSP00000215781,OSM,direct
9606.ENSP00000215793,SF3A1,direct
9606.ENSP00000215794,USP18,direct
9606.ENSP00000215812,SEC14L3,direct
9606.ENSP00000215829,SNRPD3,direct
9606.ENSP00000215832,MAPK1,direct
9606.ENSP00000215838,TCN2,direct
9606.ENSP00000215855,CRYBB3,direct
9606.ENSP00000215882,SLC25A1,direct
9606.ENSP00000215885,PLA2G3,direct
9606.ENSP00000215886,LGALS2,direct
9606.ENSP00000215904,PDXP,direct
9606.ENSP00000215906,ASPHD2,direct
9606.ENSP00000215909,LGALS1,direct
9606.ENSP00000215912,PIK3IP1,direct
9606.ENSP00000215917,SRRD,direct
9606.ENSP00000215941,ANKRD54,direct
9606.ENSP00000215957,MICALL1,direct
9606.ENSP00000215980,CENPM,direct
9606.ENSP00000216024,DMC1,direct
9606.ENSP00000216027,HSCB,direct
9606.ENSP00000216034,TOMM22,direct
9606.ENSP00000216036,RSPH14,direct
9606.ENSP00000216037,XBP1,direct
9606.ENSP00000216038,RTCB,direct
9606.ENSP00000216039,JOSD1,direct
9606.ENSP00000216044,GTPBP1,direct
9606.ENSP00000216068,DNAL4,direct
9606.ENSP00000216071,C22ORF31,direct
9606.ENSP00000216075,MIOX,direct
9606.ENSP00000216085,RHBDD3,direct
9606.ENSP00000216099,APOBEC3D,direct
9606.ENSP00000216101,RASL10A,direct
9606.ENSP00000216106,HMGXB4,direct
9606.ENSP00000216115,BIK,direct
9606.ENSP00000216117,HMOX1,direct
9606.ENSP00000216121,NIPSNAP1,direct
9606.ENSP00000216122,MCM5,direct
9606.ENSP00000216124,ARSA,direct
9606.ENSP00000216127,RASD2,direct
9606.ENSP00000216129,TTLL12,direct
9606.ENSP00000216133,CBX7,direct
9606.ENSP00000216139,ACR,direct
9606.ENSP00000216144,CABP7,direct
9606.ENSP00000216160,TAB1,direct
